Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Agur,10/19/2021 20:16,0:00:32,,Black Space: Season 1: Episode 4,,Apple iPad Pro 4 9 (TBD) iPad,0:03:13,0:03:13,CZ (Czech Republic)
Agur,10/12/2021 20:54,0:01:47,,Black Space: Season 1: Episode 4,,Safari MAC (Cadmium),0:02:41,Not latest view,CZ (Czech Republic)
Agur,10/12/2021 19:54,0:42:54,,Black Space: Season 1: Episode 3,,Safari MAC (Cadmium),0:42:59,0:42:59,CZ (Czech Republic)
Agur,10/12/2021 19:30,0:24:01,,Black Space: Season 1: Episode 2,,Safari MAC (Cadmium),0:42:50,0:42:50,CZ (Czech Republic)
Agur,10/11/2021 20:19,0:47:46,,Kate,,Apple iPad Pro 4 9 (TBD) iPad,1:46:18,1:46:18,CZ (Czech Republic)
Agur,10/9/2021 21:01,0:18:44,,Black Space: Season 1: Episode 2,,Safari MAC (Cadmium),0:18:49,Not latest view,EE (Estonia)
Agur,10/9/2021 20:38,0:23:28,,Black Space: Season 1: Episode 1,,Safari MAC (Cadmium),0:39:30,0:39:30,EE (Estonia)
Agur,10/8/2021 19:24,0:16:02,Autoplayed: user action: User_Interaction; ,Black Space: Season 1: Episode 1,,Safari MAC (Cadmium),0:16:02,Not latest view,EE (Estonia)
Agur,10/8/2021 19:24,0:00:11,Autoplayed: user action: None; ,Black Space: Season 1_hook_primary_16x9,HOOK,Safari MAC (Cadmium),0:00:11,0:00:11,EE (Estonia)
Agur,10/8/2021 19:24,0:00:05,Autoplayed: user action: None; ,Plot Clip: Clickbait,HOOK,Safari MAC (Cadmium),0:00:05,0:00:05,EE (Estonia)
Agur,10/8/2021 19:23,0:00:12,Autoplayed: user action: None; ,StartUp: Season 1_hook_primary_16x9,HOOK,Safari MAC (Cadmium),0:00:12,0:00:12,EE (Estonia)
Agur,10/8/2021 19:22,0:01:24,Autoplayed: user action: None; ,In Time_hook_05_16x9,HOOK,Safari MAC (Cadmium),0:01:24,0:01:24,EE (Estonia)
Agur,10/8/2021 19:21,0:00:13,Autoplayed: user action: None; ,Heat_hook_05_16x9,HOOK,Safari MAC (Cadmium),0:00:13,0:00:13,EE (Estonia)
