Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Laura,Too Hot to Handle,thumb,,1,iPhone,2021-09-13 19:15:08,
Laura,The Circle,thumb,,1,iPhone,2021-09-13 19:15:01,
Laura,Bridgerton,thumb,,1,iPhone,2021-03-06 13:45:30,
Laura,Holidate,thumb,,1,iPhone,2021-03-06 13:44:17,
Laura,Shawn Mendes: In Wonder,thumb,,1,iPhone,2021-03-06 13:43:57,
Laura,Patriot Act with Hasan Minhaj,thumb,,2,HTML 5,2019-03-12 12:21:59,
Agur,The Queen's Gambit,thumb,,2,iPad,2020-12-10 07:45:04,
Agur,Mercury Rising,thumb,,2,HTML 5,2020-10-09 20:21:01,
Agur,Enola Holmes,thumb,,2,HTML 5,2020-10-01 21:09:49,
Agur,Suits,thumb,,2,HTML 5,2020-07-25 19:25:46,
Agur,Unit 42,thumb,,2,HTML 5,2020-07-13 20:22:14,
Agur,The F**k-It List,thumb,,2,HTML 5,2020-07-13 20:20:59,
Agur,Savages,thumb,,2,HTML 5,2020-07-05 21:46:17,
Agur,Burn Out,thumb,,0,HTML 5,2020-05-21 21:32:18,
Agur,The Laundromat,thumb,,1,HTML 5,2019-10-19 19:46:06,
Agur,Designated Survivor: 60 Days,thumb,,2,HTML 5,2019-09-14 20:44:09,
Agur,Knock Down The House,thumb,,2,HTML 5,2019-06-13 19:25:53,
Agur,Close,thumb,,0,HTML 5,2019-05-30 19:47:47,
Agur,The Big Short,thumb,,2,HTML 5,2019-05-30 19:44:26,
Agur,Fauda,thumb,,2,HTML 5,2019-05-30 19:40:15,
Agur,Shooter,thumb,,2,HTML 5,2019-05-30 19:36:43,
Agur,Designated Survivor,thumb,,0,HTML 5,2019-05-30 19:36:32,
Agur,Sand Castle,thumb,,1,HTML 5,2019-05-30 19:35:40,
Agur,Mission: Impossible - Ghost Protocol,thumb,,2,HTML 5,2019-05-03 20:24:27,
Agur,Ocean's Twelve,thumb,,2,HTML 5,2019-05-03 19:01:06,
Agur,The Equalizer,thumb,,2,HTML 5,2019-05-03 19:00:16,
Agur,Shooter,thumb,,2,HTML 5,2019-05-03 19:00:03,
Agur,Mission: Impossible - Rogue Nation,thumb,,2,HTML 5,2019-05-03 19:00:00,
Agur,The Bourne Identity,thumb,,2,HTML 5,2019-05-03 18:59:58,
Agur,The Bourne Supremacy,thumb,,2,HTML 5,2019-05-03 18:59:56,
Agur,The Bourne Legacy,thumb,,2,HTML 5,2019-05-03 18:59:41,
Agur,Salt,thumb,,2,HTML 5,2019-05-03 18:59:34,
Agur,The Jackal,thumb,,2,HTML 5,2019-05-03 18:59:30,
Agur,The Blacklist,thumb,,2,HTML 5,2019-05-03 18:56:28,
Agur,Contraband,thumb,,1,HTML 5,2019-05-03 18:56:14,
Agur,IO,star,4,2,Apple TV,2019-04-25 20:19:04,2019-04-25
Agur,The Da Vinci Code,star,5,2,Apple TV,2019-04-25 18:43:44,2019-04-25
Agur,The Bourne Ultimatum,star,5,2,Apple TV,2019-04-23 20:54:28,
Agur,Takers,star,2,1,Apple TV,2019-04-23 20:53:55,2019-04-23
Agur,Battle: Los Angeles,star,3,2,Apple TV,2017-09-13 21:35:43,2017-09-13
Agur,Designated Survivor,star,5,2,Apple TV,2017-08-29 21:55:18,2017-08-29
