Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Kertu,NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,Safari MAC (Cadmium),2021-10-08T14:01:30.283Z,2021-10-20T21:36:32.311Z,2021-10-08T14:01:30.283Z,2021-10-20T21:17:29.832Z,2021-10-08T14:01:30.283Z,2021-10-20T21:36:32.311Z,2021-10-08T14:01:30.283Z,2021-10-20T21:17:29.832Z,
Kertu,NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,Apple iPhone 11 Pro,2020-03-20T19:49:38.465Z,2021-10-20T17:39:34.202Z,2020-03-20T19:49:38.465Z,2021-10-20T17:39:34.202Z,2020-03-20T19:49:38.465Z,2021-10-20T17:39:34.202Z,2020-03-20T19:49:38.465Z,2021-10-20T17:39:34.202Z,
Agur,NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,Apple iPad Pro 4 9 (TBD) iPad,2020-12-03T21:47:01.630Z,2021-10-19T20:16:07.716Z,2020-12-03T21:47:01.630Z,2021-10-19T20:16:07.716Z,2020-12-03T21:47:01.630Z,2021-10-19T20:16:07.716Z,2020-12-03T21:47:01.630Z,2021-10-19T20:16:07.716Z,
Laura,NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,Apple iPhone 8 Plus (GSM),2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,2019-11-04T17:41:11.170Z,2021-10-19T19:52:07.637Z,
Laura,NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,Safari MAC (Cadmium),2021-10-17T16:53:04.757Z,2021-10-17T19:18:13.165Z,2021-10-17T17:01:07.270Z,2021-10-17T19:18:13.165Z,2021-10-17T16:53:04.757Z,2021-10-17T19:18:13.165Z,2021-10-17T17:01:07.270Z,2021-10-17T19:18:13.165Z,
Agur,NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,Safari MAC (Cadmium),2021-10-17T16:53:04.757Z,2021-10-17T19:18:13.165Z,2021-10-17T17:01:07.270Z,2021-10-17T19:18:13.165Z,,,,,
Agur,NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,Safari MAC (Cadmium),2021-08-26T18:13:03.658Z,2021-10-12T20:54:44.259Z,2021-09-06T20:52:16.536Z,2021-10-12T20:54:44.259Z,2021-09-06T20:51:14.848Z,2021-10-12T20:54:44.259Z,2021-09-06T20:52:16.536Z,2021-10-12T20:54:44.259Z,
Agur,NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,Safari MAC (Cadmium),2021-10-08T14:01:30.283Z,2021-10-20T21:36:32.311Z,2021-10-08T14:01:30.283Z,2021-10-20T21:17:29.832Z,,,,,
Kertu,NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,Safari MAC (Cadmium),2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,
Agur,NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,Netflix Chrome MAC (Cadmium) HTML 5,2021-08-28T19:02:57.513Z,2021-09-23T20:33:22.534Z,2021-08-28T19:05:34.738Z,2021-09-23T20:33:22.534Z,2021-08-28T19:02:57.513Z,2021-09-23T20:33:22.534Z,2021-08-28T19:05:34.738Z,2021-09-23T20:33:22.534Z,
Laura,NFCDCH-MC-HKN228UAX1L85T30HA8FX5EJ3K6TJD,Netflix Chrome MAC (Cadmium) HTML 5,2021-08-28T19:02:57.513Z,2021-09-23T20:33:22.534Z,2021-08-28T19:05:34.738Z,2021-09-23T20:33:22.534Z,2021-09-01T18:24:42.360Z,2021-09-01T23:10:49.041Z,2021-09-01T18:24:42.360Z,2021-09-01T23:10:49.041Z,
Laura,NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,Safari MAC (Cadmium),2021-07-21T16:54:11.085Z,2021-08-29T07:59:59.177Z,2021-07-21T16:56:58.937Z,2021-08-29T07:39:43.158Z,2021-07-21T16:54:11.085Z,2021-08-29T07:59:59.177Z,2021-07-21T16:56:58.937Z,2021-08-29T07:39:43.158Z,
Laura,NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,Safari MAC (Cadmium),2021-08-26T18:13:03.658Z,2021-10-12T20:54:44.259Z,2021-09-06T20:52:16.536Z,2021-10-12T20:54:44.259Z,2021-08-26T18:13:03.658Z,2021-08-26T18:13:29.974Z,,,
Jaanika,NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,Safari MAC (Cadmium),2021-08-26T18:13:03.658Z,2021-10-12T20:54:44.259Z,2021-09-06T20:52:16.536Z,2021-10-12T20:54:44.259Z,,,,,
Agur,NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,Safari MAC (Cadmium),2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,2021-08-17T19:24:49.244Z,2021-10-06T17:32:54.767Z,,,,,
Kertu,NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,Safari MAC (Cadmium),2021-07-21T16:54:11.085Z,2021-08-29T07:59:59.177Z,2021-07-21T16:56:58.937Z,2021-08-29T07:39:43.158Z,,,,,
Kertu,SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,Mac,2021-03-11T11:32:01.238Z,2021-08-12T19:45:42.657Z,2021-03-11T11:32:01.238Z,2021-08-12T19:45:42.657Z,2021-03-11T11:32:01.238Z,2021-08-12T19:45:42.657Z,2021-03-11T11:32:01.238Z,2021-08-12T19:45:42.657Z,
Kertu,NFAPPL-03-APPLETV2=1-AA1034CC31DFC3FD4154E569E7395B263357FA335C4615C27A0186AA4477A6C1,Apple TV 2,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,2019-11-16T18:45:27.124Z,2021-08-04T19:10:21.138Z,
Agur,NFCDSF-01-HGHM8Y8TPG0DCRTN7E3WL9YX6C6LV5,Safari MAC (Cadmium),2021-07-21T16:54:11.085Z,2021-08-29T07:59:59.177Z,2021-07-21T16:56:58.937Z,2021-08-29T07:39:43.158Z,,,,,
Agur,NFCDCH-MC-HEW98VFYQUXDGY6YN2HXD56CR024UQ,Netflix Chrome MAC (Cadmium) HTML 5,2021-07-01T20:27:30.320Z,2021-07-01T20:43:42.030Z,2021-07-01T20:29:16.457Z,2021-07-01T20:43:42.030Z,2021-07-01T20:27:30.320Z,2021-07-01T20:43:42.030Z,2021-07-01T20:29:16.457Z,2021-07-01T20:43:42.030Z,
Laura,NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,Safari MAC (Cadmium),2019-10-24T20:11:30.222Z,2021-06-22T12:48:21.285Z,2019-10-24T20:11:30.222Z,2021-06-22T12:48:21.285Z,2019-10-24T20:11:30.222Z,2021-06-22T12:48:21.285Z,2019-10-24T20:11:30.222Z,2021-06-22T12:48:21.285Z,
Agur,NFCDSF-01-GQAY89L47DGQ4TJC1Q3HDJFYNCX623,Safari MAC (Cadmium),2021-03-23T21:52:19.907Z,2021-03-23T21:56:33.368Z,,,2021-03-23T21:52:19.907Z,2021-03-23T21:56:33.368Z,,,
Agur,NFCDSF-01-GAPDX1NW271H56PA8UT8KY5Y4137GU,Safari MAC (Cadmium),2020-04-30T20:23:31.836Z,2021-03-23T21:52:15.470Z,2020-04-30T20:23:31.836Z,2021-03-23T20:54:03.517Z,2020-04-30T20:23:31.836Z,2021-03-23T21:52:15.470Z,2020-04-30T20:23:31.836Z,2021-03-23T20:54:03.517Z,
Kertu,SLMAC-H4JGFELJE4X0VVEWT4UYHX0DLU3XYJ,Mac,,,,,,,,,
