Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-20T20:53:20.305Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.32.146,Harju,2021-10-20T17:39:34.202Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,CZ,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,178.17.11.162,"Prague, Hlavní mešto",2021-10-19T20:16:07.716Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,NL,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),84.26.44.145,Limburg,2021-10-19T18:21:26.107Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-17T19:19:13.963Z
NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),84.26.44.145,Limburg,2021-10-17T16:53:48.496Z
NFCDSF-01-HPRN6WWR1QF5228L9QQW29R74Y60Q6,NL,Safari MAC (Cadmium),Safari MAC (Cadmium),84.26.44.145,Limburg,2021-10-17T16:53:04.757Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.27.211,Unknown,2021-10-17T16:37:16.994Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8415:8a80:e908:b2be:c70b:9e3,Harju,2021-10-17T12:17:04.443Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:e0b5:d92d:ddf1:24db,Harju,2021-10-16T20:42:30.604Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,195.250.190.242,Harju,2021-10-15T15:09:06.151Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:e0b5:d92d:ddf1:24db,Harju,2021-10-14T20:08:16.601Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-14T15:15:43.025Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-14T04:51:01.868Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.38.148,Unknown,2021-10-13T17:36:28.915Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,CZ,Safari MAC (Cadmium),Safari MAC (Cadmium),178.17.11.162,"Prague, Hlavní mešto",2021-10-12T19:30:02.140Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,CZ,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,178.17.11.162,"Prague, Hlavní mešto",2021-10-11T20:19:12.089Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:4049:296e:83a0:d688,Harju,2021-10-09T20:38:24.486Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-09T01:18:43.677Z
NFCDSF-01-HKGPDU40CLYF7K15HFTWQ2K9YMH5UD,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8415:8a80:564:43ed:5dad:25cc,Harju,2021-10-08T19:21:45.621Z
NFCDSF-01-HP0LRH1CD9M78NMYEFC45LYV8MFRMC,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-08T14:01:25.736Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,94.246.210.123,Unknown,2021-10-06T18:13:53.957Z
NFCDSF-01-HJMGMHXHWN3KY610Q9JNQWT6GL64RK,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),94.246.210.123,Unknown,2021-10-06T17:47:49.110Z
